Tag Strain Sex grp Agewks ME
244 4 1 2 40.14 135.31
244 4 1 2 41.14 140.68
244 4 1 2 42.14  65.64
244 4 1 2 43.14 165.00
244 4 1 2 44.14 176.42
244 4 1 2 45.14 177.48
244 4 1 2 46.14 166.52
244 4 1 2 47.14 195.11
244 4 1 2 48.29 191.99
244 4 1 2 49.14 174.28
244 4 1 2 50.14 199.65
244 4 1 2 51.14 219.37
244 4 1 2 52.14 186.83
244 4 1 2 53.14 231.15
244 4 1 2 54.14 237.76
244 4 1 2 55.14 238.08
244 4 1 2 56.14 222.88
244 4 1 2 57.14 203.88
244 4 1 2 58.14 213.24
244 4 1 2 59.14 227.55
244 4 1 2 60.14 221.19
244 4 1 2 61.14 191.03
244 4 1 2 62.14 181.35
244 4 1 2 63.14 191.92
244 4 1 2 64.14 232.63
244 4 1 2 65.14 199.21
244 4 1 2 66.14 128.49
244 4 1 2 67.14 144.96
244 4 1 2 68.14 175.34
244 4 1 2 69.14 138.53
244 4 1 2 70.43 163.46
244 4 1 2 71.14 113.46
244 4 1 2 72.29 150.32
244 4 1 2 73.14 179.34
244 4 1 2 74.29 190.19
244 4 1 2 75.14 178.57
244 4 1 2 76.14 158.67
244 4 1 2 77.14 159.93
244 4 1 2 78.14 142.62
244 4 1 2 79.14 142.62
244 4 1 2 80.43 140.97
244 4 1 2 81.14 158.98
244 4 1 2 82.14 154.94
244 4 1 2 83.14 139.93
257 4 1 2 28.29 115.73
257 4 1 2 29.29 117.13
257 4 1 2 30.29 111.94
257 4 1 2 31.29 123.94
257 4 1 2 32.29 102.27
257 4 1 2 33.29 110.76
257 4 1 2 34.29 104.84
257 4 1 2 35.29  93.35
257 4 1 2 36.29  94.54
257 4 1 2 37.29 109.83
257 4 1 2 38.29 107.36
257 4 1 2 39.29 116.24
257 4 1 2 40.29 120.21
257 4 1 2 41.29 118.06
257 4 1 2 42.29 145.70
257 4 1 2 43.29 143.54
257 4 1 2 44.29 145.54
257 4 1 2 45.29 135.52
257 4 1 2 46.29 154.39
257 4 1 2 47.43 165.66
257 4 1 2 48.29 184.69
257 4 1 2 49.29 116.35
257 4 1 2 50.29 190.35
257 4 1 2 51.29 193.26
257 4 1 2 52.29 219.10
257 4 1 2 53.29 220.21
257 4 1 2 54.29 231.76
257 4 1 2 55.29 207.67
257 4 1 2 56.29 232.55
257 4 1 2 57.29 229.15
257 4 1 2 58.29 221.58
257 4 1 2 59.29 213.70
257 4 1 2 60.29 140.13
257 4 1 2 61.29 193.99
257 4 1 2 62.29 175.77
257 4 1 2 63.29 154.24
257 4 1 2 64.29 178.85
257 4 1 2 65.29 179.26
257 4 1 2 66.29 166.37
257 4 1 2 67.29 147.85
257 4 1 2 68.29 142.16
257 4 1 2 69.57 186.86
257 4 1 2 70.29 113.23
257 4 1 2 71.43 149.50
257 4 1 2 72.29 152.31
257 4 1 2 73.43 149.24
257 4 1 2 74.29 160.20
257 4 1 2 75.29 145.33
257 4 1 2 76.29 120.03
257 4 1 2 77.29 141.33
257 4 1 2 78.29 131.03
257 4 1 2 79.57 129.85
257 4 1 2 80.29 134.76
257 4 1 2 81.29 154.59
257 4 1 2 82.29 134.32
281 4 1 2 29.14 172.93
281 4 1 2 30.14 165.20
281 4 1 2 31.14 156.31
281 4 1 2 32.14 157.01
281 4 1 2 33.14 160.99
281 4 1 2 34.14 157.13
281 4 1 2 35.14 158.77
281 4 1 2 36.14 153.74
281 4 1 2 37.14 136.07
281 4 1 2 38.14 138.18
281 4 1 2 39.14 147.19
281 4 1 2 40.14 154.91
281 4 1 2 41.14 170.59
281 4 1 2 42.14 147.54
281 4 1 2 43.14 178.78
281 4 1 2 44.14 179.48
281 4 1 2 45.14 190.01
281 4 1 2 46.14 182.99
281 4 1 2 47.14 212.71
281 4 1 2 48.29 216.45
281 4 1 2 49.14 226.28
281 4 1 2 50.14 232.60
281 4 1 2 51.14 247.81
281 4 1 2 52.14 260.33
281 4 1 2 53.14 276.82
281 4 1 2 54.14 281.62
281 4 1 2 55.14 286.77
281 4 1 2 56.14 274.83
281 4 1 2 57.14 253.77
281 4 1 2 58.14 291.92
281 4 1 2 59.14 301.51
281 4 1 2 60.14 313.91
281 4 1 2 61.14 320.00
281 4 1 2 62.14 329.71
281 4 1 2 63.14 293.44
281 4 1 2 64.14 297.18
281 4 1 2 65.14 283.61
281 4 1 2 66.14 263.95
281 4 1 2 67.14 215.16
281 4 1 2 68.14 198.08
281 4 1 2 69.14 182.99
281 4 1 2 70.43 186.38
281 4 1 2 71.14 153.27
281 4 1 2 72.29 163.33
281 4 1 2 73.14 187.79
281 4 1 2 74.29 185.33
281 4 1 2 75.14 180.18
281 4 1 2 76.14 184.74
281 4 1 2 77.14 185.33
281 4 1 2 78.14 176.32
281 4 1 2 79.14 154.91
281 4 1 2 80.43 149.76
281 4 1 2 81.14 149.29
281 4 1 2 82.14   0.00
281 4 1 2 83.14   0.00
298 4 1 2 29.00 117.72
298 4 1 2 30.00 118.89
298 4 1 2 31.00 118.38
298 4 1 2 32.00 104.05
298 4 1 2 33.00 102.27
298 4 1 2 34.00  99.06
298 4 1 2 35.00 100.16
298 4 1 2 36.00  95.69
298 4 1 2 37.00  93.37
298 4 1 2 38.00  99.77
298 4 1 2 39.00 109.58
298 4 1 2 40.00 116.83
298 4 1 2 41.00 114.71
298 4 1 2 42.00 116.54
298 4 1 2 43.00 143.24
298 4 1 2 44.00 151.26
298 4 1 2 45.00 151.74
298 4 1 2 46.00 135.17
298 4 1 2 47.00 176.74
298 4 1 2 48.14 181.69
298 4 1 2 49.00 194.99
298 4 1 2 50.00 199.42
298 4 1 2 51.00 217.15
298 4 1 2 52.00 223.10
298 4 1 2 53.00 238.29
298 4 1 2 54.00 251.68
298 4 1 2 55.00 252.12
298 4 1 2 56.00 232.48
298 4 1 2 57.00 243.90
298 4 1 2 58.00 240.62
298 4 1 2 59.00 220.53
298 4 1 2 60.00 236.75
298 4 1 2 61.00 228.47
298 4 1 2 62.00 239.74
298 4 1 2 63.00 213.10
298 4 1 2 64.00 226.66
298 4 1 2 65.00 240.28
298 4 1 2 66.00 230.74
298 4 1 2 67.00 221.82
298 4 1 2 68.00 216.17
298 4 1 2 69.00 179.36
298 4 1 2 70.29 155.73
298 4 1 2 71.00  78.48
298 4 1 2 72.14  95.56
298 4 1 2 73.00 132.19
298 4 1 2 74.14 136.83
298 4 1 2 75.00 136.22
298 4 1 2 76.00 135.03
298 4 1 2 77.00 123.66
298 4 1 2 78.00 143.67
298 4 1 2 79.00 130.45
298 4 1 2 80.29 124.82
298 4 1 2 81.00 140.26
298 4 1 2 82.00 141.02
298 4 1 2 83.00 110.92
202 3 2 3 33.57 102.63
202 3 2 3 34.57  87.53
202 3 2 3 35.57  70.53
202 3 2 3 36.57 109.20
202 3 2 3 37.57 114.20
202 3 2 3 38.57 114.03
202 3 2 3 39.57 107.76
202 3 2 3 40.57  97.91
202 3 2 3 41.57  97.23
202 3 2 3 42.57 114.05
202 3 2 3 43.57 100.57
202 3 2 3 44.57 124.08
202 3 2 3 45.57 138.34
202 3 2 3 46.57  98.05
202 3 2 3 47.57 165.94
202 3 2 3 48.57 165.18
202 3 2 3 49.57 183.80
202 3 2 3 50.57 176.47
202 3 2 3 51.57 216.40
202 3 2 3 52.71 182.39
202 3 2 3 53.57 222.83
202 3 2 3 54.57 220.25
202 3 2 3 55.57 220.89
202 3 2 3 56.57 220.52
202 3 2 3 57.57 240.28
202 3 2 3 58.57 231.32
202 3 2 3 59.57 246.74
202 3 2 3 60.57 228.73
202 3 2 3 61.57 253.72
202 3 2 3 62.57 253.49
202 3 2 3 63.57 252.47
202 3 2 3 64.57 238.97
202 3 2 3 65.57 242.39
202 3 2 3 66.57 248.75
202 3 2 3 67.57 227.49
202 3 2 3 68.57 229.94
202 3 2 3 69.57 223.31
202 3 2 3 70.57 217.64
202 3 2 3 71.57 227.44
202 3 2 3 72.57 208.69
202 3 2 3 73.57 157.60
202 3 2 3 74.86 199.37
202 3 2 3 75.57 172.55
202 3 2 3 76.71 173.72
202 3 2 3 77.57 188.23
202 3 2 3 78.71 172.99
202 3 2 3 79.57 182.67
202 3 2 3 80.57 167.44
202 3 2 3 81.57 159.81
202 3 2 3 82.57 150.22
202 3 2 3 83.57 146.13
202 3 2 3 84.86 142.49
202 3 2 3 85.57 138.62
202 3 2 3 86.57 133.53
202 3 2 3 87.57 116.42
205 3 2 3 32.57 102.98
205 3 2 3 33.57 104.38
205 3 2 3 34.57 104.46
205 3 2 3 35.57 105.92
205 3 2 3 36.57  93.14
205 3 2 3 37.57  90.40
205 3 2 3 38.57 103.67
205 3 2 3 39.57  98.61
205 3 2 3 40.57 106.59
205 3 2 3 41.57  97.78
205 3 2 3 42.57 113.79
205 3 2 3 43.57 117.64
205 3 2 3 44.57 133.31
205 3 2 3 45.57 100.51
205 3 2 3 46.57 143.12
205 3 2 3 47.57 157.23
205 3 2 3 48.57 146.47
205 3 2 3 49.57 136.10
205 3 2 3 50.57 170.77
205 3 2 3 51.71 159.69
205 3 2 3 52.57 168.78
205 3 2 3 53.57 155.08
205 3 2 3 54.57 178.42
205 3 2 3 55.57 168.11
205 3 2 3 56.57 211.03
205 3 2 3 57.57 213.66
205 3 2 3 58.57 206.73
205 3 2 3 59.57 184.04
205 3 2 3 60.57 214.65
205 3 2 3 61.57 201.31
205 3 2 3 62.57 188.47
205 3 2 3 63.57 181.29
205 3 2 3 64.57 184.59
205 3 2 3 65.57 189.31
205 3 2 3 66.57 171.80
205 3 2 3 67.57 180.33
205 3 2 3 68.57 166.33
205 3 2 3 69.57 168.15
205 3 2 3 70.57 186.02
205 3 2 3 71.57 182.60
205 3 2 3 72.57 168.13
205 3 2 3 73.86 196.10
205 3 2 3 74.57 150.43
205 3 2 3 75.71 152.19
205 3 2 3 76.57 149.97
205 3 2 3 77.71 152.98
205 3 2 3 78.57 154.35
205 3 2 3 79.57 143.57
205 3 2 3 80.57 113.13
205 3 2 3 81.57 124.72
205 3 2 3 82.57 119.45
205 3 2 3 83.86 146.82
205 3 2 3 84.57 127.15
205 3 2 3 85.57 144.77
205 3 2 3 86.57 103.55
206 3 2 3 32.00 105.20
206 3 2 3 33.00  95.95
206 3 2 3 34.00  88.54
206 3 2 3 35.00  82.87
206 3 2 3 36.00  86.36
206 3 2 3 37.00  99.76
206 3 2 3 38.00  91.38
206 3 2 3 39.00  84.22
206 3 2 3 40.00  83.31
206 3 2 3 41.00  66.43
206 3 2 3 42.00  99.75
206 3 2 3 43.00 100.56
206 3 2 3 44.00  77.97
206 3 2 3 45.00  92.44
206 3 2 3 46.00 113.41
206 3 2 3 47.00 130.79
206 3 2 3 48.00 144.84
206 3 2 3 49.00 113.87
206 3 2 3 50.00 160.24
206 3 2 3 51.14 153.26
206 3 2 3 52.00 161.88
206 3 2 3 53.00 162.10
206 3 2 3 54.00 182.28
206 3 2 3 55.00 195.60
206 3 2 3 56.00 178.73
206 3 2 3 57.00 169.08
206 3 2 3 58.00 176.77
206 3 2 3 59.00 174.80
206 3 2 3 60.00 178.73
206 3 2 3 61.00 177.21
206 3 2 3 62.00 172.33
206 3 2 3 63.00 156.61
206 3 2 3 64.00 149.73
206 3 2 3 65.00 174.33
206 3 2 3 66.00 158.93
206 3 2 3 67.00 164.77
206 3 2 3 68.00 180.37
206 3 2 3 69.00 173.77
206 3 2 3 70.00 171.28
206 3 2 3 71.00 168.09
206 3 2 3 72.00 137.71
206 3 2 3 73.29 201.95
206 3 2 3 74.00 154.41
206 3 2 3 75.14 153.83
206 3 2 3 76.00 151.96
206 3 2 3 77.14 141.63
206 3 2 3 78.00 181.85
206 3 2 3 79.00 143.69
206 3 2 3 80.00 145.42
206 3 2 3 81.00 156.89
206 3 2 3 82.00 117.35
206 3 2 3 83.29 136.40
206 3 2 3 84.00 147.51
206 3 2 3 85.00 132.25
206 3 2 3 86.00 112.32
209 3 2 3 30.43 110.35
209 3 2 3 31.43  95.14
209 3 2 3 32.43  92.99
209 3 2 3 33.43  72.34
209 3 2 3 34.43  81.68
209 3 2 3 35.43  78.93
209 3 2 3 36.43  82.96
209 3 2 3 37.43  82.59
209 3 2 3 38.43  82.02
209 3 2 3 39.43  89.36
209 3 2 3 40.43  85.13
209 3 2 3 41.43  91.55
209 3 2 3 42.43  90.26
209 3 2 3 43.43 105.66
209 3 2 3 44.43 121.13
209 3 2 3 45.43 110.43
209 3 2 3 46.43 131.15
209 3 2 3 47.43 111.42
209 3 2 3 48.43 140.59
209 3 2 3 49.57 128.34
209 3 2 3 50.43 152.52
209 3 2 3 51.43 147.82
209 3 2 3 52.43 155.60
209 3 2 3 53.43 160.62
209 3 2 3 54.43 154.75
209 3 2 3 55.43 134.56
209 3 2 3 56.43 168.23
209 3 2 3 57.43 178.54
209 3 2 3 58.43 180.95
209 3 2 3 59.43 152.75
209 3 2 3 60.43 152.44
209 3 2 3 61.43 148.65
209 3 2 3 62.43 150.78
209 3 2 3 63.43 153.86
209 3 2 3 64.43 148.86
209 3 2 3 65.43 133.06
209 3 2 3 66.43 143.05
209 3 2 3 67.43 152.94
209 3 2 3 68.43 158.88
209 3 2 3 69.43 158.03
209 3 2 3 70.43 112.32
209 3 2 3 71.71 152.69
209 3 2 3 72.43 126.80
209 3 2 3 73.57 129.73
209 3 2 3 74.43 104.46
209 3 2 3 75.57 126.77
209 3 2 3 76.43 143.12
209 3 2 3 77.43 104.26
209 3 2 3 78.43 103.06
209 3 2 3 79.43 112.67
209 3 2 3 80.43  92.31
209 3 2 3 81.71 105.63
209 3 2 3 82.43  93.46
209 3 2 3 83.43  95.98
209 3 2 3 84.43  88.69
215 3 2 3 31.00  94.90
215 3 2 3 32.00  79.34
215 3 2 3 33.00  84.68
215 3 2 3 34.00  79.48
215 3 2 3 35.00  73.72
215 3 2 3 36.00  75.54
215 3 2 3 37.00  75.24
215 3 2 3 38.00  68.08
215 3 2 3 39.00  70.32
215 3 2 3 40.00  70.99
215 3 2 3 41.00  76.94
215 3 2 3 42.00  80.20
215 3 2 3 43.00  80.66
215 3 2 3 44.00  67.40
215 3 2 3 45.00  92.23
215 3 2 3 46.00 101.54
215 3 2 3 47.00  95.81
215 3 2 3 48.00  82.64
215 3 2 3 49.00 123.62
215 3 2 3 50.14 114.77
215 3 2 3 51.00 126.31
215 3 2 3 52.00 119.04
215 3 2 3 53.00 129.51
215 3 2 3 54.00 127.98
215 3 2 3 55.00 151.71
215 3 2 3 56.00 142.87
215 3 2 3 57.00 152.20
215 3 2 3 58.00 152.33
215 3 2 3 59.00 147.25
215 3 2 3 60.00 144.10
215 3 2 3 61.00 137.23
215 3 2 3 62.00 130.40
215 3 2 3 63.00 130.30
215 3 2 3 64.00 142.51
215 3 2 3 65.00 136.23
215 3 2 3 66.00 140.32
215 3 2 3 67.00 140.71
215 3 2 3 68.00 149.31
215 3 2 3 69.00 160.05
215 3 2 3 70.00 187.63
215 3 2 3 71.00 121.21
215 3 2 3 72.29 174.92
215 3 2 3 73.00 142.59
215 3 2 3 74.14 135.58
215 3 2 3 75.00 132.77
