Location,ApertureWidth,ApertureLength,Circularity,N.Telochonc.Whorls,Whorl.First.Primary,N.Primary.Whorls,Whorl.Axial.Striae,Whorl.Tertiary.Groove,Whorl.Spiral.Striae
Florida,10.7,14.2,0.75,8,3,4,1,7,6
Florida,11.1,15.3,0.73,8,1,2,1,7,6
Florida,9.6,12.8,0.75,7,1,4,2,7,6
Florida,10.1,13.4,0.75,8,3,2,1,8,0
Florida,5.4,7.4,0.73,8,3,4,1,7,7
Florida,10.9,15,0.73,8,3,4,3,7,6
Florida,9.2,12.9,0.71,9,3,2,1,9,0
Florida,9.7,13.1,0.74,8,3,3,2,8,5
Florida,6.2,8.5,0.73,8,2,2,1,7,6
Florida,4,5.5,0.73,7,2,3,1,7,7
Florida,10,13.3,0.75,7,2,5,1,6,0
Florida,9.8,13.7,0.72,8,3,2,2,8,8
Florida,9.3,12.4,0.75,8,3,6,3,6,5
Florida,7.2,9.4,0.77,6,1,2,1,7,0
Florida,6.5,8.9,0.73,8,2,3,1,7,8
Florida,6.6,8.7,0.76,8,2,3,2,6,6
Florida,6,8.5,0.71,7,2,3,1,6,6
Florida,6.2,8.8,0.7,8,3,6,1,7,6
Florida,4.2,5.3,0.79,7,4,3,1,7,6
Florida,5.4,7.5,0.72,8,3,4,2,7,7
Florida,5.4,7.5,0.72,7,2,6,1,6,5
Florida,4.4,6.2,0.71,7,3,3,2,7,7
Florida,5.4,7.5,0.72,7,3,5,2,6,0
Florida,5.8,8.5,0.68,8,2,4,1,7,6
Florida,5.2,7.2,0.72,8,2,4,2,6,7
Florida,5.7,7.4,0.77,7,3,4,2,7,0
Florida,6.3,8.3,0.76,7,1,4,1,0,5
Florida,5.6,7.8,0.72,7,3,3,3,6,6
Florida,3.9,5.5,0.71,7,2,4,1,7,6
